# ns,rw,reg,byte — MAME macqd700 SWIM/IWM trace, 7.5.3 boot, NO floppy.
# Captured 2026-08-06 (Lua taps on 0x50F1E000-0x50F1FFFF).  The byte is
# in bits 31:24 of the tapped word; masking the LOW byte gives all-zeros.
# Default vector for tb_iwm.cpp::test_mame_capture_replay.
40900,R,d,97
41000,R,e,97
41100,R,c,ff
41200,R,c,ff
41300,R,a,ff
41400,R,9,00
41500,R,1,00
41600,R,3,00
41700,R,4,00
41800,R,0,00
41900,R,2,00
42000,R,d,b7
42100,R,e,b7
42200,R,c,00
42300,W,6,80
42400,R,8,ff
42500,R,a,ff
42600,R,9,00
42700,R,1,00
42800,R,3,00
42900,R,4,00
43000,R,0,00
43100,R,2,00
43200,R,d,b7
43300,R,e,b7
43400,R,c,00
43500,W,6,80
43600,R,8,ff
43700,R,a,ff
43800,R,9,00
43900,R,1,00
44000,R,3,00
44100,R,4,00
44200,R,0,00
44300,R,2,00
44400,R,d,b7
44500,R,e,b7
44600,R,c,00
44700,W,6,80
44800,R,8,ff
44900,R,a,ff
45000,R,9,00
45100,R,1,00
45200,R,3,00
45300,R,4,00
45400,R,0,00
45500,R,2,00
45600,R,d,b7
45700,R,e,b7
45800,R,c,00
45900,W,6,80
46000,R,8,ff
46100,R,a,ff
46200,R,9,00
46300,R,1,00
46400,R,3,00
46500,R,4,00
46600,R,0,00
46700,R,2,00
46800,R,d,b7
46900,R,e,b7
47000,R,c,00
47100,W,6,80
47200,R,8,ff
47300,R,a,ff
47400,R,9,00
47500,R,1,00
47600,R,3,00
47700,R,4,00
47800,R,0,00
47900,R,2,00
48000,R,d,b7
48100,R,e,b7
48200,R,c,00
48300,W,6,80
48400,R,8,ff
48500,R,a,ff
48600,R,9,00
48700,R,1,00
48800,R,3,00
48900,R,4,00
49000,R,0,00
49100,R,2,00
49200,R,d,b7
49300,R,e,b7
49400,R,c,00
49500,W,6,80
49600,R,8,ff
49700,R,a,ff
49800,R,9,00
49900,R,1,00
50000,R,3,00
50100,R,4,00
50200,R,0,00
50300,R,2,00
50400,R,d,b7
50500,R,e,b7
50600,R,c,00
50700,W,6,80
